Time (ms), Pressure, Temperature
17092, 1022.678955078125, 24.065093994140625
17233, 1022.679931640625, 24.0767822265625
17333, 1022.679931640625, 24.0767822265625
17433, 1022.679931640625, 24.0767822265625
17533, 1022.679931640625, 24.0767822265625
17633, 1022.679931640625, 24.0767822265625
17733, 1022.679931640625, 24.0767822265625
17834, 1022.679931640625, 24.0767822265625
17934, 1022.679931640625, 24.0767822265625
18034, 1022.679931640625, 24.0767822265625
18134, 1022.681396484375, 24.0767822265625
18235, 1022.680419921875, 24.06939697265625
18335, 1022.680419921875, 24.06939697265625
18435, 1022.680419921875, 24.06939697265625
18535, 1022.680419921875, 24.06939697265625
18635, 1022.680419921875, 24.06939697265625
18735, 1022.680419921875, 24.06939697265625
18835, 1022.680419921875, 24.06939697265625
18935, 1022.680419921875, 24.06939697265625
19035, 1022.680419921875, 24.06939697265625
19134, 1022.6796875, 24.06939697265625
19234, 1022.6787109375, 24.061676025390625
19334, 1022.6787109375, 24.061676025390625
19434, 1022.6787109375, 24.061676025390625
19534, 1022.6787109375, 24.061676025390625
19634, 1022.6787109375, 24.061676025390625
19734, 1022.6787109375, 24.061676025390625
19834, 1022.6787109375, 24.061676025390625
19934, 1022.6787109375, 24.061676025390625
20034, 1022.6787109375, 24.061676025390625
20134, 1022.677490234375, 24.061676025390625
20234, 1022.677978515625, 24.066802978515625
20334, 1022.677978515625, 24.066802978515625
20434, 1022.677978515625, 24.066802978515625
20534, 1022.677978515625, 24.066802978515625
20634, 1022.677978515625, 24.066802978515625
20734, 1022.677978515625, 24.066802978515625
20833, 1022.677978515625, 24.066802978515625
20933, 1022.677978515625, 24.066802978515625
21033, 1022.677978515625, 24.066802978515625
21133, 1022.675537109375, 24.066802978515625
21233, 1022.67578125, 24.07025146484375
21333, 1022.67578125, 24.07025146484375
21459, 1022.67578125, 24.07025146484375
21560, 1022.67578125, 24.07025146484375
21661, 1022.67578125, 24.07025146484375
21761, 1022.67578125, 24.07025146484375
21862, 1022.67578125, 24.07025146484375
21962, 1022.67578125, 24.07025146484375
22063, 1022.67578125, 24.07025146484375
22163, 1022.67578125, 24.06939697265625
22264, 1022.67578125, 24.06939697265625
22364, 1022.67578125, 24.06939697265625
22465, 1022.67578125, 24.06939697265625
22565, 1022.67578125, 24.06939697265625
22665, 1022.67578125, 24.06939697265625
22765, 1022.67578125, 24.06939697265625
22865, 1022.67578125, 24.06939697265625
22965, 1022.67578125, 24.06939697265625
23065, 1022.673095703125, 24.06939697265625
23165, 1022.67333984375, 24.0716552734375
23265, 1022.67333984375, 24.0716552734375
23365, 1022.67333984375, 24.0716552734375
23465, 1022.67333984375, 24.0716552734375
23565, 1022.67333984375, 24.0716552734375
23665, 1022.67333984375, 24.0716552734375
23766, 1022.67333984375, 24.0716552734375
23865, 1022.67333984375, 24.0716552734375
23965, 1022.67333984375, 24.0716552734375
24065, 1022.671875, 24.0716552734375
24165, 1022.671142578125, 24.067657470703125
24265, 1022.671142578125, 24.067657470703125
24365, 1022.671142578125, 24.067657470703125
24465, 1022.671142578125, 24.067657470703125
24565, 1022.671142578125, 24.067657470703125
24665, 1022.671142578125, 24.067657470703125
24765, 1022.671142578125, 24.067657470703125
24865, 1022.671142578125, 24.067657470703125
24965, 1022.671142578125, 24.067657470703125
25065, 1022.67333984375, 24.067657470703125
25165, 1022.672607421875, 24.06195068359375
25265, 1022.672607421875, 24.06195068359375
25365, 1022.672607421875, 24.06195068359375
25465, 1022.672607421875, 24.06195068359375
25565, 1022.672607421875, 24.06195068359375
25665, 1022.672607421875, 24.06195068359375
25788, 1022.672607421875, 24.06195068359375
25888, 1022.672607421875, 24.06195068359375
25988, 1022.672607421875, 24.06195068359375
26089, 1022.670166015625, 24.06195068359375
26188, 1022.67138671875, 24.071929931640625
26288, 1022.67138671875, 24.071929931640625
26388, 1022.67138671875, 24.071929931640625
26487, 1022.67138671875, 24.071929931640625
26588, 1022.67138671875, 24.071929931640625
26688, 1022.67138671875, 24.071929931640625
26789, 1022.67138671875, 24.071929931640625
26889, 1022.67138671875, 24.071929931640625
26989, 1022.67138671875, 24.071929931640625
27089, 1022.671142578125, 24.071929931640625
27189, 1022.671142578125, 24.070526123046875
27289, 1022.671142578125, 24.070526123046875
27389, 1022.671142578125, 24.070526123046875
27489, 1022.671142578125, 24.070526123046875
27589, 1022.671142578125, 24.070526123046875
27689, 1022.671142578125, 24.070526123046875
27789, 1022.671142578125, 24.070526123046875
27889, 1022.671142578125, 24.070526123046875
27989, 1022.671142578125, 24.070526123046875
28089, 1022.670654296875, 24.070526123046875
28189, 1022.670166015625, 24.068511962890625
28289, 1022.670166015625, 24.068511962890625
28389, 1022.670166015625, 24.068511962890625
28489, 1022.670166015625, 24.068511962890625
28588, 1022.670166015625, 24.068511962890625
28688, 1022.670166015625, 24.068511962890625
28788, 1022.670166015625, 24.068511962890625
28888, 1022.670166015625, 24.068511962890625
28988, 1022.670166015625, 24.068511962890625
29088, 1022.670166015625, 24.068511962890625
29188, 1022.670166015625, 24.069671630859375
29288, 1022.670166015625, 24.069671630859375
29388, 1022.670166015625, 24.069671630859375
29488, 1022.670166015625, 24.069671630859375
29588, 1022.670166015625, 24.069671630859375
29688, 1022.670166015625, 24.069671630859375
29788, 1022.670166015625, 24.069671630859375
29888, 1022.670166015625, 24.069671630859375
29988, 1022.67431640625, 24.069671630859375
30107, 1022.673583984375, 24.065093994140625
30209, 1022.673583984375, 24.065093994140625
30309, 1022.673583984375, 24.065093994140625
30410, 1022.673583984375, 24.065093994140625
