Time (ms), Acc_x, Acc_y, Acc_z, Gyro_x, Gyro_y, Gyro_z, Mag_x, Mag_y, Mag_z, Lin_acc_x, Lin_acc_y, Lin_acc_z, Geo_mag_i, Geo_mag_j, Geo_mag_k, Geo_mag_w, Rot_vec_i, Rot_vec_j, Rot_vec_k, Rot_vec_w, Pressure, Temperature
971687, -0.42578125, -0.58203125, -9.5859375, 0.00390625, 0.01171875, 0.015625, -58.3125, 226.0625, 42.0625, -0.0625, 0.12109375, 0.07421875, 0.502197265625, -3.9677734375, 0.05419921875, 0.03515625, 0.45367431640625, -0.89105224609375, 0.0157470703125, 0.0045166015625, 983.765625, 14.243438720703125
971788, -0.08203125, 0.14453125, -9.8125, 0.05078125, 0.01171875, -0.037109375, -58.6875, 224.625, 42.375, -0.0703125, 0.953125, -0.0390625, 0.502197265625, -3.968017578125, 0.045654296875, 0.033203125, 0.45379638671875, -0.89093017578125, 0.01629638671875, 0.00494384765625, 983.771728515625, 14.239471435546875
971888, -0.2734375, 0.453125, -9.77734375, 0.0078125, -0.013671875, -0.0078125, -58.625, 225.125, 43.4375, 0.4296875, 0.06640625, 0.07421875, 0.50341796875, -3.9677734375, 0.048828125, 0.031005859375, 0.453369140625, -0.89117431640625, 0.01580810546875, 0.00537109375, 983.771728515625, 14.239471435546875
972035, 0.53125, -0.66015625, -9.77734375, -0.00390625, -0.00390625, 0.005859375, -58.6875, 225.0, 41.625, 0.04296875, -0.15625, 0.03515625, 0.503173828125, -3.9677734375, 0.049072265625, 0.032470703125, 0.45343017578125, -0.89117431640625, 0.01593017578125, 0.00537109375, 983.771728515625, 14.239471435546875
972134, -0.234375, -0.0078125, -9.69921875, 0.041015625, 0.0, -0.05859375, -58.375, 225.625, 40.5625, 0.2734375, 0.45703125, 0.03515625, 0.501953125, -3.968017578125, 0.044677734375, 0.033447265625, 0.453125, -0.89129638671875, 0.015869140625, 0.00567626953125, 983.771728515625, 14.239471435546875
972260, 0.109375, 0.10546875, -9.73828125, 0.0078125, 0.013671875, -0.001953125, -58.5, 230.0625, 39.4375, -0.18359375, 0.44140625, 0.03515625, 0.501220703125, -3.968017578125, 0.05322265625, 0.03271484375, 0.45306396484375, -0.89129638671875, 0.0159912109375, 0.00592041015625, 983.771728515625, 14.239471435546875
972361, -0.00390625, -0.19921875, -9.8515625, 0.001953125, 0.021484375, 0.009765625, -58.6875, 223.8125, 41.5, -0.25390625, 0.02734375, -0.078125, 0.502685546875, -3.9677734375, 0.052978515625, 0.029296875, 0.453369140625, -0.89117431640625, 0.0162353515625, 0.00592041015625, 983.771728515625, 14.239471435546875
972586, 0.609375, -0.12109375, -9.62109375, -0.0078125, -0.0078125, 0.00390625, -59.0625, 225.0, 41.625, 0.3671875, 0.10546875, 0.14453125, 0.50244140625, -3.9677734375, 0.0537109375, 0.034423828125, 0.453369140625, -0.89117431640625, 0.015869140625, 0.00567626953125, 983.771728515625, 14.239471435546875
972687, 1.296875, -0.390625, -9.69921875, 0.001953125, 0.033203125, 0.01953125, -58.0, 225.375, 41.625, 1.046875, -0.1640625, 0.07421875, 0.50341796875, -3.9677734375, 0.051025390625, 0.02783203125, 0.4532470703125, -0.8912353515625, 0.01617431640625, 0.00616455078125, 983.771728515625, 14.239471435546875
972787, -0.00390625, 0.8359375, -9.62109375, 0.017578125, -0.005859375, -0.01953125, -57.875, 224.75, 43.8125, -0.4765625, -0.5390625, -0.0859375, 0.501953125, -3.968017578125, 0.049560546875, 0.033203125, 0.4534912109375, -0.89105224609375, 0.01611328125, 0.0057373046875, 983.79248046875, 14.2354736328125
